lookup_id,sku_brand,fill_style_id,fill_style_name,fill_style_name_grouping,fill_sku_shopify,fill_barcode
1070,GLFAFDTH478T-I316-6-12,7423204851795,ALWAYS FITS GOOD LEGS FLARE JEANS,Good Legs Flare,42100244381779,197217685653
1071,GLFAFDTH478T-I316-14-18,7423204851795,ALWAYS FITS GOOD LEGS FLARE JEANS,Good Legs Flare,42100244316243,197217685622
1072,GLFAFDTH478T-I316-20-26,7423204851795,ALWAYS FITS GOOD LEGS FLARE JEANS,Good Legs Flare,42100244414547,197217685639
1073,GLFAFDTH478T-I316-28-32,7423204851795,ALWAYS FITS GOOD LEGS FLARE JEANS,Good Legs Flare,42100244349011,197217685646
2312,GLSKAF478T-I446-A,6866431672403,ALWAYS FITS GOOD LEGS SKINNY JEANS,Good Legs Skinny,42566605799507,019695417352
2313,GLSKAF478T-I446-B,6866431672403,ALWAYS FITS GOOD LEGS SKINNY JEANS,Good Legs Skinny,42566605832275,019695417369
2314,GLSKAF478T-I446-C,6866431672403,ALWAYS FITS GOOD LEGS SKINNY JEANS,Good Legs Skinny,42566605865043,019695417376
2315,GLSKAF478T-I446-D,6866431672403,ALWAYS FITS GOOD LEGS SKINNY JEANS,Good Legs Skinny,42566605897811,019695417383
2316,GLSKAF478T-I446-E,6866431672403,ALWAYS FITS GOOD LEGS SKINNY JEANS,Good Legs Skinny,42566605930579,019695417390
2317,GLSKAF478T-I446-35-00-4,6866431672403,ALWAYS FITS GOOD LEGS SKINNY JEANS,Good Legs Skinny,41396269809747,197217477463
2318,GLSKAF478T-I446-35-6-12,6866431672403,ALWAYS FITS GOOD LEGS SKINNY JEANS,Good Legs Skinny,41396269842515,197217477548
2319,GLSKAF478T-I446-35-14-18,6866431672403,ALWAYS FITS GOOD LEGS SKINNY JEANS,Good Legs Skinny,41396269875283,197217477487
2320,GLSKAF478T-I446-35-20-26,6866431672403,ALWAYS FITS GOOD LEGS SKINNY JEANS,Good Legs Skinny,41396269908051,197217477500
2321,GLSKAF478T-I446-35-28-32,6866431672403,ALWAYS FITS GOOD LEGS SKINNY JEANS,Good Legs Skinny,41396269940819,197217477524
3121,GL478T-DB04-00-4,6967801872467,ALWAYS FITS GOOD LEGS SKINNY JEANS,Good Legs Skinny,40623876112467,197217312399
3122,GL478T-DB04-6-12,6967801872467,ALWAYS FITS GOOD LEGS SKINNY JEANS,Good Legs Skinny,40623876145235,197217312474
3123,GL478T-DB04-14-18,6967801872467,ALWAYS FITS GOOD LEGS SKINNY JEANS,Good Legs Skinny,40623876178003,197217312412
3124,GL478T-DB04-20-26,6967801872467,ALWAYS FITS GOOD LEGS SKINNY JEANS,Good Legs Skinny,40623876210771,197217312436
3125,GL478T-DB04-28-32,6967801872467,ALWAYS FITS GOOD LEGS SKINNY JEANS,Good Legs Skinny,40623876243539,197217312450
